contract_id,language,clause_id,clause_text,label
C005,ar,9.1,يستحق الطرف الثاني مكافأة نهاية الخدمة وفق نظام العمل وتُحسب عادة على أساس الأجر الأخير ومدة الخدمة.,termination
C005,en,9.1,"The Second Party is entitled to end-of-service benefits in accordance with Saudi Labor Law, typically calculated based on last wage and length of service.",termination
C005,ar,10.1,"يخضع هذا العقد لنظام العمل ولوائحه التنفيذية والقرارات الصادرة لتنفيذه، ويحل محل أي اتفاقات أو عقود سابقة.",governing_law
C005,en,10.1,"This contract is subject to Saudi Labor Law, its executive regulations, and implementing decisions, and it replaces any previous agreements if any.",governing_law
C005,ar,10.2,"عند نشوء نزاع، يكون الاختصاص للجهة العمالية المختصة داخل المملكة العربية السعودية.",governing_law
C005,en,10.2,"In the event of a dispute, jurisdiction lies with the competent labor authority within the Kingdom of Saudi Arabia.",governing_law
C005,ar,10.3,"تكون الإشعارات والإنذارات كتابية عبر قنوات التواصل الإلكترونية في منصة قوى، ويلتزم الطرفان بتحديث بيانات الاتصال عند أي تغيير.",general
C005,en,10.3,Warnings and notifications shall be in writing via electronic communication channels on the Qiwa platform; both parties must update contact details upon any change.,general
C005,ar,11.1,بنود إضافية: يحق للطرف الثاني إجازة سنوية مدفوعة (21) يومًا لكل سنة وفق ما هو منصوص.,benefits
C005,en,11.1,Additional terms: the Second Party is entitled to paid annual leave of 21 days per year as stated.,benefits
C005,ar,11.2,يجوز للطرف الثاني طلب إجازة لأيام محددة بإشعار كتابي مسبق للطرف الأول (مع استثناء الحالات الطارئة).,benefits
C005,en,11.2,The Second Party may request specific leave days by providing prior written notice to the First Party (emergency cases excluded).,benefits
C005,ar,11.3,يلتزم الطرف الثاني بأداء مهام إضافية يكلّفه بها الطرف الأول ضمن نطاق مؤهلاته.,duties
C005,en,11.3,The Second Party shall perform additional duties assigned by the First Party within their qualifications.,duties
C005,ar,11.4,يستحق الطرف الثاني تذكرة سفر اقتصادية عند استحقاق الإجازة السنوية وفق ما هو منصوص.,benefits
C005,en,11.4,The Second Party is entitled to an economy-class airline ticket when eligible for annual leave as stated.,benefits
C005,ar,11.5,يتحمل الطرف الثاني مصاريف السفر الإضافية المتعلقة بالمرافقين (إن وجدت).,benefits
C005,en,11.5,The Second Party bears additional travel expenses related to dependents (if any).,benefits
C005,ar,11.6,"عند إنهاء العقد، يجب على الطرف الثاني إعادة ممتلكات الطرف الأول، ويجوز للطرف الأول خصم قيمة الممتلكات المتلفة/المفقودة وفق النظام.",penalties
C005,en,11.6,"Upon termination, the Second Party must return the First Party’s property, and the First Party may deduct the value of damaged/lost property in accordance with the law.",penalties
C005,ar,11.7,"إذا تم إنهاء العقد قبل انتهاء مدته دون سبب مشروع، يستحق الطرف المتضرر تعويضًا يُحدد وفق أحكام النظام.",termination
C005,en,11.7,"If the contract is terminated before expiry without a legitimate reason, the affected party is entitled to compensation determined under the law.",termination
C005,ar,11.8,يقر الطرف الثاني بالالتزام باللوائح الداخلية السارية وأنها جزء من هذا العقد ما لم ينص على خلاف ذلك.,duties
C005,en,11.8,The Second Party acknowledges compliance with internal regulations in effect; they form an integral part of this contract unless otherwise stated.,duties
C005,ar,11.9,يجوز تكليف الطرف الثاني بالعمل الإضافي والعمل في العطل الرسمية وفق حاجة العمل.,working_hours
C005,en,11.9,The Second Party may be assigned overtime work and work on official holidays as required.,working_hours
C005,ar,11.1,المراسلات المتعلقة بالعقد تتم عبر قنوات موثقة وتُعد منتجة لآثارها عند استلامها.,general
C005,en,11.1,Correspondence related to this contract may be exchanged via documented channels and is effective upon receipt.,general
C005,ar,11.11,يتجدد العقد لمدة سنتين ما لم يخطر أحد الطرفين الآخر بعدم الرغبة في التجديد قبل 30 يومًا من تاريخ الانتهاء.,contract_duration
C005,en,11.11,The contract renews for a period of two years unless either party notifies the other of unwillingness to renew at least 30 days before the expiry date.,contract_duration
C006,ar,0.1,عقد عمل بين الطرف الأول والطرف الثاني وفق نظام العمل بالمملكة العربية السعودية.,general
C006,en,0.1,An employment agreement between the First Party and the Second Party in accordance with Saudi Labor Law.,general
C006,ar,1.1,يعمل الطرف الثاني لدى الطرف الأول وفق الشروط الواردة في هذا العقد وفي أي فروع أو مواقع تابعة له داخل المملكة.,duties
C006,en,1.1,The Second Party shall work for the First Party under the terms of this agreement at any of its branches or sites within the Kingdom.,duties
C006,ar,1.2,يسري هذا العقد اعتبارًا من تاريخ وصول الطرف الثاني إلى المملكة العربية السعودية.,contract_duration
C006,en,1.2,This agreement becomes effective from the date the Second Party arrives in the Kingdom of Saudi Arabia.,contract_duration
C006,ar,2.1,مدة هذا العقد سنة واحدة قابلة للتجديد لمدد مماثلة ما لم يخطر أحد الطرفين الآخر بعدم الرغبة في التجديد قبل 30 يومًا.,contract_duration
C006,en,2.1,"The term of this contract is one year, renewable for similar periods unless either party notifies the other at least 30 days prior to expiry.",contract_duration
C006,ar,3.1,يلتزم الطرف الأول بدفع راتب شهري للطرف الثاني قدره ___ ريال سعودي.,salary_terms
C006,en,3.1,The First Party shall pay the Second Party a monthly salary of ___ Saudi Riyals.,salary_terms
C006,ar,3.2,يستحق الطرف الثاني السكن المناسب المفروش من قبل الطرف الأول.,benefits
C006,en,3.2,The Second Party shall be provided with suitable furnished accommodation by the First Party.,benefits
C006,ar,3.3,يوفر الطرف الأول للطرف الثاني ثلاث وجبات يوميًا مجانًا.,benefits
C006,en,3.3,The First Party shall provide the Second Party with three free meals daily.,benefits
C006,ar,4.1,يستحق الطرف الثاني إجازة سنوية مدفوعة الأجر بعد إتمام اثني عشر شهرًا من الخدمة.,benefits
C006,en,4.1,The Second Party shall be entitled to paid annual leave after completing twelve months of service.,benefits
C006,ar,4.2,تدفع أجور الإجازة مقدماً قبل التمتع بها.,benefits
C006,en,4.2,Vacation wages shall be paid in advance prior to taking leave.,benefits
C006,ar,5.1,يوفر الطرف الأول العلاج الطبي المجاني للطرف الثاني وفق نظام العمل.,benefits
C006,en,5.1,The First Party shall provide free medical treatment to the Second Party in accordance with Saudi Labor Law.,benefits
C006,ar,6.1,يتحمل الطرف الأول تكاليف انتقال الطرف الثاني إلى المملكة وتكاليف العودة بعد انتهاء العقد.,benefits
C006,en,6.1,The First Party shall bear the cost of transporting the Second Party to the Kingdom and return costs after contract termination.,benefits
C006,ar,6.2,يتحمل الطرف الأول رسوم الإقامة والتأشيرات ورسوم الدخول والخروج.,benefits
C006,en,6.2,"The First Party shall bear residence, visa, entry, and exit fees.",benefits
C006,ar,7.1,يخضع الطرف الثاني لجميع أنظمة العمل وساعات العمل والإجازات المقررة نظامًا.,working_hours
C006,en,7.1,"The Second Party shall be subject to all labor regulations regarding working hours, leave, and rest.",working_hours
C006,ar,7.2,يلتزم الطرف الثاني باتباع تعليمات وأنظمة الطرف الأول والمحافظة على سمعته.,duties
C006,en,7.2,The Second Party shall comply with the First Party’s instructions and preserve its reputation.,duties
C006,ar,8.1,يجوز إنهاء هذا العقد بإشعار كتابي مدته ثلاثون يومًا من أي من الطرفين.,termination
C006,en,8.1,This contract may be terminated by either party with thirty days’ written notice.,termination
C006,ar,8.2,يجوز للطرف الأول إنهاء العقد دون إشعار في حال المخالفات الجسيمة وفق المادة 83 من نظام العمل.,termination
C006,en,8.2,The First Party may terminate the contract without notice in case of serious violations in accordance with Article 83 of Saudi Labor Law.,termination
C006,ar,9.1,يقر الطرف الثاني بعدم مزاولة أي عمل آخر مدفوع الأجر خلال سريان هذا العقد.,penalties
C006,en,9.1,The Second Party acknowledges that they shall not engage in any other paid work during the validity of this contract.,penalties
C006,ar,9.2,يلتزم الطرف الثاني بمغادرة المملكة فور انتهاء العقد ما لم يتم تجديده.,termination
C006,en,9.2,The Second Party shall depart the Kingdom immediately upon contract termination unless renewed.,termination
C006,ar,10.1,يخضع هذا العقد لأنظمة وقوانين المملكة العربية السعودية.,governing_law
C006,en,10.1,This agreement shall be governed by the laws and regulations of the Kingdom of Saudi Arabia.,governing_law
C007,ar,0.1,تم إبرام هذا العقد بين مكتب الرائد للهندسة والطرف الثاني (الموظف) وفق نظام العمل بالمملكة العربية السعودية.,general
C007,en,0.1,This contract is concluded between Raed Al‑Engineering Office and the Second Party (Employee) in accordance with Saudi Labor Law.,general
C007,ar,1.1,يوافق الموظف على العمل لدى المكتب في الوظيفة المحددة أو أي وظيفة أخرى يراها المكتب مناسبة لمؤهلاته.,duties
C007,en,1.1,The Employee agrees to work for the Office in the specified position or any other position deemed suitable to his qualifications.,duties
C007,ar,2.1,يجوز تكليف الموظف بالعمل في أي مكان داخل المملكة العربية السعودية.,duties
C007,en,2.1,The Employee may be assigned to work at any location within the Kingdom of Saudi Arabia.,duties
C007,ar,3.1,تبدأ فترة العمل من تاريخ مباشرة الموظف وتستمر لمدة سنتين قابلة للتجديد تلقائيًا ما لم يتم إنهاؤها وفق العقد.,contract_duration
C007,en,3.1,"The employment period shall begin from the date the Employee starts work and continue for two years, renewable automatically unless terminated as provided herein.",contract_duration
C007,ar,3.2,تُعتبر التسعون يومًا الأولى من العمل فترة تجربة يجوز خلالها إنهاء الخدمة وإعادة الموظف لبلده على نفقة المكتب.,probation
C007,en,3.2,The first ninety days of employment shall be considered a probation period during which the Employee may be terminated and repatriated at the Employer’s expense.,probation
C007,ar,4.1,يكون الراتب الأساسي للموظف مبلغًا محددًا بالريال السعودي ويُدفع شهريًا دون تعديل بسبب تغير العملة.,salary_terms
C007,en,4.1,"The Employee’s basic salary shall be a fixed amount in Saudi Riyals, payable monthly without adjustment due to currency fluctuation.",salary_terms
C007,ar,5.1,"ساعات العمل 48 ساعة أسبوعيًا موزعة على ستة أيام عمل، مع قبول الموظف بالعمل بنظام النوبات عند الحاجة.",working_hours
C007,en,5.1,"Working hours shall be 48 hours per week distributed over six working days, and the Employee agrees to shift work if required.",working_hours
C007,ar,6.1,يتحمل المكتب نفقات العلاج الطبي للموظف باستثناء علاج الأسنان والنظارات الطبية.,benefits
C007,en,6.1,The Employer shall bear the cost of medical treatment for the Employee excluding dental care and eyeglasses.,benefits
C007,ar,7.1,يستحق الموظف إجازة مدفوعة الأجر لمدة ثلاثين يومًا عن كل سنتين وفق متطلبات العمل.,benefits
C007,en,7.1,"The Employee shall be entitled to paid leave of thirty days for every two years, subject to work requirements.",benefits
C007,ar,7.2,يستحق الموظف العطلات الرسمية المعتمدة في المملكة العربية السعودية.,benefits
C007,en,7.2,The Employee shall be entitled to official public holidays in the Kingdom of Saudi Arabia.,benefits
C007,ar,8.1,يلتزم الموظف باحترام القوانين والعادات العامة والمحافظة على السلوك الحسن وعدم الإضرار بمصالح المكتب.,duties
C007,en,8.1,"The Employee shall comply with laws, customs, proper conduct, and avoid harming the Employer’s interests.",duties
C007,ar,9.1,لا يجوز للموظف العمل لدى أي جهة أخرى داخل المملكة بعد انتهاء العقد إلا بموافقة خطية من المكتب.,penalties
C007,en,9.1,The Employee may not work for any other entity in the Kingdom after contract termination without written consent from the Employer.,penalties
C007,ar,10.1,يُعامل الموظف كأعزب ولا يستحق أي مزايا متعلقة بالمعالين.,general
C007,en,10.1,The Employee shall be treated as single and shall not be entitled to dependent-related benefits.,general
